2022-12-14;050/B/NBP/2022;XAF;frank CFA BEAC;0.007002
2022-12-14;050/B/NBP/2022;XPF;frank CFP;0.039247
2022-12-14;050/B/NBP/2022;DJF;frank Dżibuti;0.024748
2022-12-14;050/B/NBP/2022;GNF;frank gwinejski;5.11E-4
2022-12-14;050/B/NBP/2022;KMF;frank Komorów;0.009516
2022-12-14;050/B/NBP/2022;CDF;frank kongijski (Dem. Republika Konga);0.002144
2022-12-14;050/B/NBP/2022;RWF;frank rwandyjski;0.004151
2022-12-14;050/B/NBP/2022;EGP;funt egipski;0.1785
2022-12-14;050/B/NBP/2022;GIP;funt gibraltarski;5.449
2022-12-14;050/B/NBP/2022;LBP;funt libański;0.002913
2022-12-14;050/B/NBP/2022;SSP;funt południowosudański;0.006576
2022-12-14;050/B/NBP/2022;SDG;funt sudański;0.0078
2022-12-14;050/B/NBP/2022;SYP;funt syryjski;0.0018
2022-12-14;050/B/NBP/2022;GHS;Ghana cedi;0.4061
2022-12-14;050/B/NBP/2022;HTG;gourde (Haiti);0.0303
2022-12-14;050/B/NBP/2022;PYG;guarani (Paragwaj);6.13E-4
2022-12-14;050/B/NBP/2022;ANG;gulden Antyli Holenderskich;2.4446
2022-12-14;050/B/NBP/2022;PGK;kina (Papua-Nowa Gwinea);1.2504
2022-12-14;050/B/NBP/2022;LAK;kip (Laos);2.54E-4
2022-12-14;050/B/NBP/2022;MWK;kwacha malawijska;0.004292
2022-12-14;050/B/NBP/2022;ZMW;kwacha zambijska;0.2517
2022-12-14;050/B/NBP/2022;AOA;kwanza (Angola);0.0086
2022-12-14;050/B/NBP/2022;MMK;kyat (Myanmar, Birma);0.002098
2022-12-14;050/B/NBP/2022;GEL;lari (Gruzja);1.647
2022-12-14;050/B/NBP/2022;MDL;lej Mołdawii;0.2279
2022-12-14;050/B/NBP/2022;ALL;lek (Albania);0.040841
2022-12-14;050/B/NBP/2022;HNL;lempira (Honduras);0.1785
2022-12-14;050/B/NBP/2022;SLE;leone (Sierra Leone);0.235
2022-12-14;050/B/NBP/2022;SZL;lilangeni (Eswatini);0.2563
2022-12-14;050/B/NBP/2022;LSL;loti (Lesotho);0.2563
2022-12-14;050/B/NBP/2022;AZN;manat azerbejdżański;2.5916
2022-12-14;050/B/NBP/2022;MZN;metical (Mozambik);0.0687
2022-12-14;050/B/NBP/2022;NGN;naira (Nigeria);0.009867
2022-12-14;050/B/NBP/2022;ERN;nakfa (Erytrea);0.2922
2022-12-14;050/B/NBP/2022;TWD;nowy dolar tajwański;0.1444
2022-12-14;050/B/NBP/2022;TMT;nowy manat (Turkmenistan);1.2604
2022-12-14;050/B/NBP/2022;MRU;ouguiya (Mauretania);0.1169
2022-12-14;050/B/NBP/2022;TOP;pa'anga (Tonga);1.8495
2022-12-14;050/B/NBP/2022;MOP;pataca (Makau);0.5498
2022-12-14;050/B/NBP/2022;ARS;peso argentyńskie;0.0256
2022-12-14;050/B/NBP/2022;DOP;peso dominikańskie;0.0801
2022-12-14;050/B/NBP/2022;COP;peso kolumbijskie;9.25E-4
2022-12-14;050/B/NBP/2022;CUP;peso kubańskie;4.3973
2022-12-14;050/B/NBP/2022;UYU;peso urugwajskie;0.1135
2022-12-14;050/B/NBP/2022;BWP;pula (Botswana);0.3432
